FULL,Year,PG,ID,ID2,CAT_ORG,CAT_MOD,FULL.1,Position,Nation,Name,Addy_Clean,Address,Nationality - Katherine Vote,Nationality - Zehra Vote,Nationality - Jessica,Nationality Final,api_result1,api_result2,nationality_api,nationality_ipums,Origin_api,Gender - Katherine Vote,Gender - Zehra Vote,Gender - Jessica,Gender - Final,Gender_api,gender_combined,gender_final,Notes,Arrival / I Record,CORNER,Address2,ST combi,ST Name,ST Name 2,ST Name 3,ST Name 4,ST Name 5,ST Name 6,Last,First,probability1,probability12,if error,if>40,final_api,final_ancestry,country_match,region_match,Final Result,,,
"Huber Anna, 206, 5th",1898_TrowBusMan,957,940,1898_TrowBusMan_940,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Huber Anna, 206, 5th",12,,Huber Anna ,206 5th  ,"206, 5th",German,,,German,Austrian,Swiss,undecided,undecided,Western Europe,f,f,,f,f,f,f,,,N,206,5th  ,5th,,,,,,Huber,Anna,0.485432022,0.665142095,,,FALSE,Armenian,,,Armenian,,,
"Joy Hit Yen, 13 Doyers",1898_TrowBusMan,957,994,1898_TrowBusMan_994,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Joy Hit Yen, 13 Doyers",13,C,Joy Hit Yen ,13 Doyers  ,13 Doyers,Chinese,Chinese,,Chinese,Bangladeshi,Indian,cannot use api,cannot use api,Southern Asia,,,,,m,cannot use api,cannot use api,,,N,13,Doyers  ,Doyers,,,,,,Childs,S,0.50757773,0.77746233,,0.750359877,Bangladeshi,Chinese,,,Asian,,,
"Horn Kong Low & Co, 11 Mott",1898_TrowBusMan,957,936,1898_TrowBusMan_936,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Horn Kong Low & Co, 11 Mott",20,C,Horn Kong Low & Co ,11 Mott  ,11 Mott,Chinese,Cantonese,,Chinese,Cambodian,German,cannot use api,cannot use api,South-Eastern Asia,,,,,m,cannot use api,cannot use api,,,N,11,Mott  ,Mott,,,,,,Braunberg,Delia,0.37938377,0.46360713,,0.578101652,Cambodian,Chinese,,,Asian,,,
"Wing Sing, 3 Doyers",1898_TrowBusMan,964,2022,1898_TrowBusMan_2022,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Wing Sing, 3 Doyers",11,C,Wing Sing ,3 Doyers  ,3 Doyers,,Asian,,Asian,HK,Chinese,undecided,undecided,Eastern Asia,,,,,m,undecided,undecided,,,N,3,Doyers  ,Doyers,,,,,,Abrahams,Anna,0.497109654,0.57631149,,0.751889226,HK,Asian,,,Asian,,,
"Mee Hong Low & Co, 14 Mott",1898_TrowBusMan,959,1274,1898_TrowBusMan_1274,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Mee Hong Low & Co, 14 Mott",19,C,Mee Hong Low & Co ,14 Mott  ,14 Mott,,,Chinese,Chinese,Korean,Malaysian,cannot use api,cannot use api,Eastern Asia,,,,,f,cannot use api,cannot use api,,,N,14,Mott  ,Mott,,,,,,Gesing,Charles,0.50275663,0.46603388,error,0.880626586,Korean,Chinese,,,Asian,,,
"Mon Lay Won, 24 Pell",1898_TrowBusMan,959,1331,1898_TrowBusMan_1331,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Mon Lay Won, 24 Pell",13,C,Mon Lay Won ,24 Pell  ,24 Pell,,,Chinese,Chinese,Myanmar,Cambodian,cannot use api,cannot use api,South-Eastern Asia,,,,,m,cannot use api,cannot use api,Owner: http://exhibitions.nypl.org/lunchhour/items/show/561,,N,24,Pell  ,Pell,,,,,,Harth,Henry,0.48075597,0.46396192,error,0.77377084,Myanmar,Chinese,,,Asian,,,
"Wavra Hung Low Chung Kee, 20 Mott",1898_TrowBusMan,963,1949,1898_TrowBusMan_1949,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Wavra Hung Low Chung Kee, 20 Mott",26,C,Wavra Hung Low Chung Kee ,20 Mott  ,20 Mott,,Chinese,,Chinese,Vietnamese,Korean,undecided,undecided,South-Eastern Asia,,,,,m,undecided,undecided,,,N,20,Mott  ,Mott,,,,,,Wavra,Hung,0.655579655,0.829817961,,0.698729857,Vietnamese,Chinese,,,Asian,,,
"Oberst Leopold, 206 Church & 42 Thomas",1898_TrowBusMan,960,1417,1898_TrowBusMan_1417,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Oberst Leopold, 206 Church & 42 Thomas",16,,Oberst Leopold ,42 Thomas  ,206 Church & 42 Thomas,,,German,German,Austrian,German,German,German,Western Europe,m,,m,m,m,m,m,https://www.ancestrylibrary.com/interactive/1629/31194_121038-03834?pid=6509262&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DyXy38%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3D2El9LjVGyd454ty%252Bj9fpug%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Dleopold%26gsfn_x%3D0%26gsln%3Doberst%26gsln_x%3D0%26gskw%3Drosario%2520abdala%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6509262%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D1&treeid=&personid=&hintid=&usePUB=true&_phsrc=yXy38&_phstart=successSource&usePUBJs=true,1891,N,42,Thomas  ,Thomas,,,,,,Lederer,Philip,0.433264093,0.465231104,,0.579056938,Austrian,German,,,Austrian,,,
Schachinger Joseph. 28 Stanton,1898_TrowBusMan,961,1641,1898_TrowBusMan_1641,Restaurants (Marked thus + are oyster saloons.),Restaurant,Schachinger Joseph. 28 Stanton,20,,Schachinger Joseph ,28 Stanton  ,28 Stanton,German,,,German,Austrian,German,German,German,Western Europe,m,,m,m,m,m,m,,,N,28,Stanton  ,Stanton,,,,,,Oberst,Leopold,0.505704779,0.875400294,,0.626288017,Austrian,German,,,Austrian,,,
"Lorber Adolph, 294 Grand",1898_TrowBusMan,958,1191,1898_TrowBusMan_1191,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Lorber Adolph, 294 Grand",15,,Lorber Adolph ,294 Grand st  ,294 Grand,,,Austrian,Austrian,Austrian,German,Austrian,Austrian,Western Europe,m,,m,m,m,m,m,-,https://www.ancestrylibrary.com/interactive/1629/31194_120994-04419?pid=6368450&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DIQz114%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DkRZrkcGSBA5EwzWfbtzHJg%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Dadolph%26gsfn_x%3D0%26gsln%3Dlorber%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6368450%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D4&treeid=&personid=&hintid=&usePUB=true&_phsrc=IQz114&_phstart=successSource&usePUBJs=true,N,294,Grand st  ,Grand,,,,,,Fay,&,0.45502239,0.45096955,error,0.903124225,Austrian,Austrian,,,Austrian,,,
"Mayer Morris, 56 Ludlow",1898_TrowBusMan,959,1270,1898_TrowBusMan_1270,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Mayer Morris, 56 Ludlow",14,,Mayer Morris ,56 Ludlow  ,56 Ludlow,,,Austrian,Austrian,Austrian,German,Austrian,Austrian,Western Europe,m,,m,m,m,m,m,Probably https://www.ancestrylibrary.com/interactive/1629/31194_121025-00684?pid=6469244&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DIQz276%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3D%252Be4LzxrGJDTty1r1t/TIAQ%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Dmorris%26gsfn_x%3D0%26gsln%3Dmayer%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6469244%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D3&treeid=&personid=&hintid=&usePUB=true&_phsrc=IQz276&_phstart=successSource&usePUBJs=true,,N,56,Ludlow  ,Ludlow,,,,,,Geneva,Herman,0.2799676,0.30142092,,0.836657407,Austrian,Austrian,,Russian/Austrian/Hungarian/German,Austrian,,,
"Steiner Victor, 105 Delancey",1898_TrowBusMan,962,1807,1898_TrowBusMan_1807,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Steiner Victor, 105 Delancey",16,,Steiner Victor ,105 Delancey  ,105 Delancey,,,Austrian,Austrian,Austrian,Jewish,Austrian,Austrian,Western Europe,m,,m,m,m,m,m,https://www.ancestrylibrary.com/interactive/1629/31194_121086-00491?pid=6643314&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DyXy67%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DMd2VWTqk7lxGVL70zJ/VKg%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Dvictor%26gsfn_x%3D0%26gsln%3Dsteiner%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6643314%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D5&treeid=&personid=&hintid=&usePUB=true&_phsrc=yXy67&_phstart=successSource&usePUBJs=true,1852,N,105,Delancey  ,Delancey,,,,,,Scheuplein,John,0.38455408,0.55880402,,0.705110285,Austrian,Austrian,,,Austrian,,,
Terwilliger G. C. 346 Bway,1898_TrowBusMan,963,1853,1898_TrowBusMan_1853,Restaurants (Marked thus + are oyster saloons.),Restaurant,Terwilliger G. C. 346 Bway,18,,Terwilliger G C ,346 Broadway,346 Bway,,Belgian,,Belgian,Austrian,English,undecided,undecided,Western Europe,,,,,m,undecided,undecided,,,N,346,Broadway,Bway,,,,,,Shindler,Samuel,0.37646342,0.5651753,,0.507114445,Austrian,Belgian,,Austrian/Russian,Austrian,,,
"Plans Christian, 123 Park row",1898_TrowBusMan,960,1490,1898_TrowBusMan_1490,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Plans Christian, 123 Park row",17,,Plans Christian ,123 Park row ,123 Park row,Dutch,,,Dutch,Austrian,Spanish,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,123,Park row ,Park,row,,,,,Kraus,&,0.54558021,0.56944934,,0.543445834,Austrian,Dutch,,Russian/Austrian/Hungarian/German,Austrian,,,
"Hochall Thomas, 321 E 73d",1898_TrowBusMan,956,912,1898_TrowBusMan_912,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Hochall Thomas, 321 E 73d",16,,Hochall Thomas ,321 E 73rd ,321 E 73d,English,,,English,Austrian,Irish,undecided,undecided,Western Europe,m,m,,m,m,m,m,,,N,321,E 73rd ,E,73rd,,,,,Blau,&,0.50239041,0.4660858,error,0.949530731,Austrian,English,,Russian/Austrian/Hungarian,Austrian,,,
"Spits Herman, 184 Chrystie",1898_TrowBusMan,962,1789,1898_TrowBusMan_1789,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Spits Herman, 184 Chrystie",14,,Spits Herman ,184 Chrystie  ,184 Chrystie,,,Austrian/German,Austrian/German,Dutch,Belgium,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,184,Chrystie  ,Chrystie,,,,,,Sabiro,Max,0.49492211,0.45362142,error,0.813319105,Dutch,Austrian/German,,Austrian,Austrian,,,
"Sommer Isaac, 131 Prince",1898_TrowBusMan,962,1773,1898_TrowBusMan_1773,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Sommer Isaac, 131 Prince",14,,Sommer Isaac ,131 Prince  ,131 Prince,,,Austrian,Austrian,Irish,Swiss,undecided,undecided,Northern Europe,m,,m,m,m,m,m,https://www.ancestrylibrary.com/interactive/1174/USM1372_624-0541?pid=1087606&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DyXy43%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3Dh2PXkb4QPbhZMf09YQJzIw%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Disaac%26gsfn_x%3D0%26gsln%3Dsommer%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D1087606%26dbid%3D1174%26indiv%3D1%26ml_rpos%3D2&treeid=&personid=&hintid=&usePUB=true&_phsrc=yXy43&_phstart=successSource&usePUBJs=true,1883,N,131,Prince  ,Prince,,,,,,Rosenthal,Hannah,0.50276849,0.4675227,error,0.826474262,Irish,Austrian,,Russian/Austrian/Hungarian/German,Austrian,,,
Liebenow John. 139 E 13th,1898_TrowBusMan,958,1162,1898_TrowBusMan_1162,Restaurants (Marked thus + are oyster saloons.),Restaurant,Liebenow John. 139 E 13th,15,,Liebenow John ,139 E 13th ,139 E 13th,,,"German, Austrian, Czech?","German, Austrian, Czech?",Irish,German,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,139,E 13th ,E,13th,,,,,Edelstein,Samuel,0.39380067,0.50731032,,0.507594687,Irish,"German, Austrian, Czech?",,Russian/Austrian/Hungarian/Romanian,Austrian,,,
"Lustgarten Oscar, 44 Delancey",1898_TrowBusMan,958,1202,1898_TrowBusMan_1202,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Lustgarten Oscar, 44 Delancey",18,,Lustgarten Oscar ,44 Delancey  ,44 Delancey,,,Austrian,Austrian,Swedish,German,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,https://www.ancestrylibrary.com/interactive/1174/USM1372_521-0322?pid=1078828&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DIQz139%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DBF0QTdXYfWVdEIx3lo4H8w%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Doscar%26gsfn_x%3D0%26gsln%3Dlustgarten%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D1078828%26dbid%3D1174%26indiv%3D1%26ml_rpos%3D2&treeid=&personid=&hintid=&usePUB=true&_phsrc=IQz139&_phstart=successSource&usePUBJs=true,N,44,Delancey  ,Delancey,,,,,,Fischler,Moses,0.39315395,0.36059481,error,0.857481158,Swedish,Austrian,,Austrian/German,Austrian,,,
Schrader Elizabeth. 110 Chrystie,1898_TrowBusMan,961,1674,1898_TrowBusMan_1674,Restaurants (Marked thus + are oyster saloons.),Restaurant,Schrader Elizabeth. 110 Chrystie,20,,Schrader Elizabeth ,110 Chrystie  ,110 Chrystie,German,,,German,Austrian,Swiss,undecided,undecided,Western Europe,f,,f,f,f,f,f,,,N,110,Chrystie  ,Chrystie,,,,,,Schrader,Elizabeth,0.563773442,0.790153429,,,FALSE,Austrian,,,Austrian,,,
"Schreiber Flora, 286 Grand",1898_TrowBusMan,961,1676,1898_TrowBusMan_1676,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Schreiber Flora, 286 Grand",17,,Schreiber Flora ,286 Grand st  ,286 Grand,German,,,German,Austrian,German,German,German,Western Europe,f,,f,f,f,f,f,,,N,286,Grand st  ,Grand,,,,,,Schreiber,Flora,0.50568663,0.57082326,,,FALSE,Austrian,,,Austrian,,,
Schreier Martin. 16 Division,1898_TrowBusMan,961,1677,1898_TrowBusMan_1677,Restaurants (Marked thus + are oyster saloons.),Restaurant,Schreier Martin. 16 Division,17,,Schreier Martin ,16 Division  ,16 Division,German,,,German,Austrian,German,German,German,Western Europe,m,,m,m,m,m,m,,,N,16,Division  ,Division,,,,,,Schreier,Martin,0.425262314,0.536761343,,,FALSE,Austrian,,,Austrian,,,
Wannemacher E. 137 W 22d,1898_TrowBusMan,963,1944,1898_TrowBusMan_1944,Restaurants (Marked thus + are oyster saloons.),Restaurant,Wannemacher E. 137 W 22d,15,,Wannemacher E ,137 W 22nd ,137 W 22d,,German,,German,Austrian,Swiss,undecided,undecided,Western Europe,,,,,m,undecided,undecided,,,N,137,W 22nd ,W,22nd,,,,,Wannemacher,E,0.479410521,0.486078263,,,FALSE,Austrian,,,Austrian,,,
"Weinberger Edward, 151 E Houston",1898_TrowBusMan,963,1963,1898_TrowBusMan_1963,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Weinberger Edward, 151 E Houston",19,,Weinberger Edward ,151 E Houston ,151 E Houston,,German,,German,Austrian,German,German,German,Western Europe,m,,m,m,m,m,m,,,N,151,E Houston ,E,Houston,,,,,Weinberger,Edward,0.60455775,0.706600782,,FALSE,FALSE,Austrian,,,Austrian,,,
"Weiner Wilheimina, 199 Forsyth",1898_TrowBusMan,963,1964,1898_TrowBusMan_1964,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Weiner Wilheimina, 199 Forsyth",19,,Weiner Wilheimina ,199 Forsyth  ,199 Forsyth,,German,,German,Austrian,German,German,German,Western Europe,f,,f,f,f,f,f,,,N,199,Forsyth  ,Forsyth,,,,,,Weiner,Wilheimina,0.487133972,0.731597794,,,FALSE,Austrian,,,Austrian,,,
"Wimpfheimer Leopold, 103 Bleecker",1898_TrowBusMan,964,2019,1898_TrowBusMan_2019,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Wimpfheimer Leopold, 103 Bleecker",21,,Wimpfheimer Leopold ,103 Bleecker  ,103 Bleecker,,German,,German,Austrian,German,German,German,Western Europe,m,,m,m,m,m,m,,,N,103,Bleecker  ,Bleecker,,,,,,Wimpfheimer,Leopold,0.767924119,0.945973592,,FALSE,FALSE,Austrian,,,Austrian,,,
"Zimmer Robert, 29 Vandewater",1898_TrowBusMan,964,2062,1898_TrowBusMan_2062,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Zimmer Robert, 29 Vandewater",15,,Zimmer Robert ,29 VandeWater st  ,29 Vandewater,,German,,German,Austrian,German,German,German,Western Europe,m,,m,m,m,m,m,,,N,29,VandeWater st  ,Vandewater,,,,,,Zimmer,Robert,0.653752742,0.683779534,,,FALSE,Austrian,,,Austrian,,,
"Steinherz Alexander, 137, 8th",1898_TrowBusMan,962,1810,1898_TrowBusMan_1810,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Steinherz Alexander, 137, 8th",21,,Steinherz Alexander ,137 8th  ,"137, 8th",,,Austrian,Austrian,Austrian,German,Austrian,Austrian,Western Europe,m,,m,m,m,m,m,https://www.ancestrylibrary.com/interactive/1629/31194_121085-04801?pid=6642839&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DyXy72%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DZVKo8arJOAtr7d7DnVjruw%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Dalexander%26gsfn_x%3D0%26gsln%3Dsteinherz%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6642839%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D1&treeid=&personid=&hintid=&usePUB=true&_phsrc=yXy72&_phstart=successSource&usePUBJs=true,-,N,137,8th  ,8th,,,,,,Steinherz,Alexander,0.447784071,0.659231613,,,FALSE,Austrian,,,Austrian,,,
"Rader David, 38 Maiden la",1898_TrowBusMan,960,1526,1898_TrowBusMan_1526,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Rader David, 38 Maiden la",13,,Rader David ,38 Maiden ln ,38 Maiden la,German,German,Austrian,German,Austrian,English,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,38,Maiden ln ,Maiden,av,,,,,Rombout,Cornelius,0.774417818,0.84014052,,FALSE,FALSE,Belgian,,,Belgian,,,
"Steiner Victor, 105 Delancey",1898_TrowBusMan,962,1807,1898_TrowBusMan_1807,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Steiner Victor, 105 Delancey",16,,Steiner Victor ,105 Delancey  ,105 Delancey,,,,German/Austrian,Austrian,Jewish,Austrian,Austrian,Western Europe,m,,m,m,m,m,m,,,N,105,Delancey  ,Delancey,,,,,,Bleyert,Charles,0.505336865,0.543088068,,,FALSE,Belgian,,,Belgian,,,
"Amster Wolf, 9 1/2 Essex",1898_TrowBusMan,951,106,1898_TrowBusMan_106,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Amster Wolf, 9 1/2 Essex",13,,Amster Wolf ,9 Essex  ,9 1/2 Essex,German,,"Jewish, German",German,Austrian,German,German,German,Western Europe,m,m,,m,m,m,m,,,N,9,Essex  ,Essex,,,,,,Droppman,Charles,0.551777957,0.56961965,,,FALSE,Belgian,,,Belgian,,,
"Keck (refused) 583, 3d av",1898_TrowBusMan,957,1015,1898_TrowBusMan_1015,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Keck (refused) 583, 3d av",15,,Keck (refused) ,583 3rd av ,"583, 3d av",English,,,English,,,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,583,3rd av ,3rd,av,,,,,Christgau,Henry,0.39608602,0.42461502,,0.907884507,0,English,,,British,,,
"Wittholm John, Newell av. Wmsbridge",1898_TrowBusMan,964,2031,1898_TrowBusMan_2031,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Wittholm John, Newell av. Wmsbridge",35,,Wittholm John Newell av Wmsbridge,   ,,,English,,English,Danish,Sweden,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,Y,,  ,,,,,,,Williams,&,0.5680775,0.66237583,,0.5680775,Danish,English,,New York/Russian/Ireland/ Italy,British,,,
"Aird Henry F. 606, 8th av",1898_TrowBusMan,951,92,1898_TrowBusMan_92,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Aird Henry F. 606, 8th av",14,,Aird Henry F ,606 8th av ,"606, 8th av",Scottish,,,Scottish,English,Irish,undecided,Scottish,Northern Europe,m,m,,m,m,m,m,,,N,606,8th av ,8th,av,,,,,Anderson,James,0.503295626,0.915365916,,0.490476332,English,Scottish,,,British,,,
Anderson Henry C. 87 Dey,1898_TrowBusMan,951,107,1898_TrowBusMan_107,Restaurants (Marked thus + are oyster saloons.),Restaurant,Anderson Henry C. 87 Dey,18,,Anderson Henry C ,87 Dey  ,87 Dey,Scottish,,Scotland/English/Scandinavia,Scottish,English,Irish,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,87,Dey  ,Dey,,,,,,Anderson,James,0.503295626,0.915365916,,0.490266911,English,Scottish,,,British,,,
"Anderson James, 227 10th av",1898_TrowBusMan,951,108,1898_TrowBusMan_108,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Anderson James, 227 10th av",16,,Anderson James ,227 10th av ,227 10th av,Scottish,,English/Scottish,Scottish,English,Irish,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,227,10th av ,10th,av,,,,,Anderson,William,0.4586259,0.865760973,,0.589269652,English,Scottish,,,British,,,
